Location,lyme,babesiosis,anaplasmosis,Population,COUNTY
Houlton,7.3,0,0,27447,Aroostook
Howland,NA,0,0,5880,Penobscot
Hudson,77.6,0,0,7728,Penobscot
Indian Island,0,0,0,3062,Penobscot
Indian Twp Res,0,0,0,3640,Washington
Industry,NA,0,0,4601,Franklin
Island Falls,0,0,NA,3972,Aroostook
Isle au Haut,NA,0,0,367,Knox
Islesboro,4275.4,0,NA,2760,Waldo
Jackman,NA,0,0,4207,Somerset
Jackson,NA,0,210.2,2855,Waldo
Jay,89.5,0,0,23470,Franklin
Jefferson,299.7,0,243,12347,Lincoln
Jonesboro,0,0,0,2644,Washington
Jonesport,NA,0,0,6770,Washington
Kenduskeag,NA,0,0,6782,Penobscot
Kennebunk,82.6,12.5,12.5,64168,York
Kennebunkport,115,17.2,11.5,17395,York
Kingfield,141.5,0,0,4946,Franklin
Kingman Twp,0,0,0,830,Penobscot
Kingsbury Plt,NA,NA,NA,136,NA
Kittery,142.7,35.2,41.4,48357,York
Knox,261.8,0,NA,4202,Waldo
Lagrange,0,0,0,3520,Penobscot
Lake View Plt,0,0,0,436,NA
Lakeville,0,0,0,494,Penobscot
Lamoine,365.1,NA,97.4,8217,Hancock
Lebanon,109.7,0,40.8,31901,York
Lee,0,0,0,4519,Penobscot
Leeds,119.9,8.6,68.5,11677,Androscoggin
Levant,61,0,13.6,14759,Penobscot
Lewiston,32.7,2.2,13.8,180527,Androscoggin
Liberty,278.5,NA,NA,4668,Waldo
Limerick,144.1,0,58.9,15272,York
Limestone,0,0,0,11058,Aroostook
Limington,239.1,10.2,40.7,19657,York
Lincoln,48.6,0,0,24694,Penobscot
Lincoln Plt,NA,NA,NA,224,NA
Lincolnville,319.2,17.7,186.2,11278,Waldo
Linneus,0,0,0,4709,Aroostook
Lisbon,88.2,8.8,26.5,45335,Androscoggin
Litchfield,215,0,80.6,18605,Kennebec
Littleton,0,0,0,5188,Aroostook
Livermore,114.1,0,NA,10515,Androscoggin
Livermore Falls,82.3,0,31.6,15805,Androscoggin
Long Island,582.4,NA,NA,1202,Cumberland
Louds Island,NA,NA,NA,0,NA
Lovell,106.8,0,NA,5620,Oxford
Lowell,0,0,0,1788,Penobscot
Lubec,NA,0,0,6215,Washington
Ludlow,0,0,0,1930,Aroostook
Lyman,93,13.3,53.1,22588,York
Machias,216.4,0,19.7,10167,Washington
